Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Logistic Regression,0.8788142981691369,0.8421900161030595,0.9273049645390071,0.8827004219409282,0.9401147160079316,0.8998257839721254,0.8735440931780366,0.9308510638297872,0.9012875536480687,0.9510620081608859
Naive Bayes,0.7872711421098518,0.7373887240356083,0.8812056737588653,0.802907915993538,0.9077466759120714,0.8005226480836237,0.7474150664697193,0.8971631205673759,0.8154713940370669,0.915543330418731
SVM,0.9337401918047079,0.9107744107744108,0.9592198581560284,0.9343696027633851,0.9785226816539543,0.9425087108013938,0.9337979094076655,0.950354609929078,0.9420035149384886,0.9758786311085204
Random Forest,0.9311246730601569,0.970873786407767,0.8865248226950354,0.9267840593141798,0.9805648820602655,0.9390243902439024,0.9786821705426356,0.8953900709219859,0.9351851851851852,0.9821040391528223
XGBoost,0.937227550130776,0.9424460431654677,0.9290780141843972,0.9357142857142857,0.9835377054365413,0.9520905923344948,0.9669724770642202,0.9343971631205674,0.9504057709648331,0.9866444428252209
