Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Logistic Regression,0.9520488230165649,0.9829222011385199,0.9184397163120568,0.9495875343721356,0.9821539359877378,0.9660278745644599,0.9906542056074766,0.9397163120567376,0.9645131938125568,0.9848379966967842
Naive Bayes,0.7794245858761988,0.6941323345817728,0.9858156028368794,0.8146520146520146,0.7827877328078051,0.7770034843205574,0.6925,0.9822695035460993,0.8123167155425219,0.7805183134168853
SVM,0.9642545771578029,0.994328922495274,0.9326241134751773,0.9624885635864593,0.9909644416870431,0.9747386759581882,0.9944547134935305,0.9539007092198581,0.9737556561085973,0.9931294326241135
Random Forest,0.960767218831735,1.0,0.9202127659574468,0.9584487534626038,0.9891305670109365,0.9668989547038328,0.9962264150943396,0.9361702127659575,0.9652650822669104,0.9891901656465559
XGBoost,0.9642545771578029,0.994328922495274,0.9326241134751773,0.9624885635864593,0.9898361373672493,0.9712543554006968,0.9907578558225508,0.950354609929078,0.9701357466063348,0.9911848464976198
