Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Logistic Regression,0.948561464690497,0.988394584139265,0.9060283687943262,0.9454209065679926,0.990496088950525,0.955574912891986,0.9885714285714285,0.9202127659574468,0.953168044077135,0.9854133270183622
Naive Bayes,0.7794245858761988,0.6941323345817728,0.9858156028368794,0.8146520146520146,0.7827877328078051,0.7770034843205574,0.6925,0.9822695035460993,0.8123167155425219,0.7805183134168853
SVM,0.960767218831735,0.9814471243042672,0.9379432624113475,0.9592021758839528,0.9921900660559833,0.9660278745644599,0.9852125693160814,0.9450354609929078,0.9647058823529412,0.990283141455358
Random Forest,0.958151700087184,1.0,0.9148936170212766,0.9555555555555556,0.9888659781273189,0.9599303135888502,0.9961685823754789,0.9219858156028369,0.9576427255985267,0.9883734698338676
XGBoost,0.959895379250218,0.9868421052631579,0.9308510638297872,0.958029197080292,0.9914054231597388,0.9712543554006968,0.9907578558225508,0.950354609929078,0.9701357466063348,0.9896273559700768
