Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Logistic Regression,0.8491717523975588,0.8220757825370676,0.8847517730496454,0.852263023057216,0.9007609211342651,0.872822299651568,0.8506711409395973,0.898936170212766,0.8741379310344828,0.9259296366462644
Naive Bayes,0.7367044463818657,0.6920821114369502,0.8368794326241135,0.7576243980738363,0.8546890016179458,0.7360627177700348,0.6883116883116883,0.8457446808510638,0.7589498806682577,0.8687503036043913
SVM,0.909328683522232,0.8993055555555556,0.9184397163120568,0.9087719298245615,0.9605762563410096,0.9137630662020906,0.8920741989881956,0.9379432624113475,0.9144338807260155,0.9700767511901291
Random Forest,0.9128160418482999,0.9715447154471545,0.8475177304964538,0.9053030303030303,0.967683661180249,0.9146341463414634,0.9604743083003953,0.8617021276595744,0.908411214953271,0.9722308243466433
XGBoost,0.923278116826504,0.9407407407407408,0.900709219858156,0.9202898550724637,0.976445506854981,0.9398954703832753,0.9475587703435805,0.9290780141843972,0.9382273948075202,0.981650150587778
